species_capture,visit_2,visit_1,visit_3
admin_pond_rana_clamitans_A2,1,0,0
rv_pond_rana_clamitans_A2,0,1,0
rv_pond_rana_clamitans_A3,1,1,0
rv_pond_rana_clamitans_A4,0,1,0
rv_pond_rana_clamitans_B2,0,1,0
rv_pond_2_rana_clamitans_B3,0,0,1
vorisek_pond_rana_clamitans_A2,1,0,0
vorisek_pond_rana_clamitans_A3,1,0,0
vorisek_pond_rana_clamitans_A4,1,0,0
wood_lab_pond_rana_clamitans_A2,1,0,0
wood_lab_pond_rana_clamitans_A3,0,0,1
wood_lab_pond_rana_clamitans_B2,0,0,1
wood_lab_pond_rana_clamitans_B3,0,0,1
wood_lab_pond_rana_clamitans_B4,0,0,1
